OID,Name,Method
RULE_B1IND_GSKCOREDRVR1,B1IND,A1IND where ABLFL='Y'
RULE_ABLFL_GSKCOREDRVR1,ABLFL,[Study specific]
RULE_APBLFL_GSKCOREDRVR1,APBLFL,Flags all post-baseline records
RULE_ANL61FL_GSKCOREDRVR1,ANL61FL,"Flags worst case post-baseline (absolute shift) for Normal or PCI ranges
                        "
RULE_ANL62FL_GSKCOREDRVR1,ANL62FL,"Flags worst case post-baseline (change from baseline) for Normal or PCI ranges
                        "
RULE_ANL63FL_GSKCOREDRVR1,ANL63FL,Flags worst case maximum grade post-baseline
RULE_ANL71FL_GSKCOREDRVR1,ANL71FL,"If CHGCA1CD equal H or L then all subjects records flagged Y else blank.
                        "
RULE_ANL72FL_GSKCOREDRVR1,ANL72FL,"If A1INDCD equal H or L then all subjects records flagged Y else blank.
                        "
RULE_ANL81FL_GSKCOREDRVR1,ANL81FL,"Flags records with any AVAL or CHG value outside normal range or PCI values
                        "
RULE_A1INDCD_GSKCOREDRVR1,A1INDCD,"If AVAL<A1LO then set to 'L'. If AVAL>A1HI then setto 'H', if A1LO and
                            A1HI missing then set to 'N'. IfAVAL missing, A1LO and A1HI present then set to 'U'.If A1LO<AVAL<A1HI
                            then set to 'I'.
                        "
RULE_ADVS_CHGCA1CD_GSKCOREDRVR1,ADVS_CHGCA1CD,"[Study specific] See SAP for high and low ranges. If CHG<LOW RANGE VALUE then
                            set to 'L'. If CHG> HIGH RANGE VALUE then set to 'H'. If LOW RANGE VALUE<=CHG<=
                            HIGH RANGE VALUE then set to 'I'. If CHG is missing and ""DURING TREATMENT"" (defined per SAP)
                            then set to 'U'. If ABLFL='Y' then set to 'P'. If ABLFL = 'Y' and ""PRE TREATMENT"" (Defined
                            per SAP) then set to 'R'. When high/low ranges are not provided then set to 'N'. If
                            Upper/Lower Increases/Decreases are defined compare CHG to these values to determine if they
                            meet this criteria and set CHGCA1CD values per controlled term
                        "
RULE_ADVS_ATOXGR_GSKCOREDRVR1,ADVS_ATOXGR,"[Study specific] Toxicity grade of AVAL for analysis. For example, for Systolic
                            blood pressure grades may be assigned based on the following AVAL ranges; Grade 0 (<120),
                            Grade 1 (120-139), Grade 2 (140-159), Grade 3 (>=160). Diastolic blood pressure grades
                            may be assigned based on the following AVAL ranges; Grade 0 (<80), Grade 1 (80-89), Grade
                            2 (90-99), Grade 3 (>=100).
                        "
RULE_ADVS_BTOXGR_GSKCOREDRVR1,ADVS_BTOXGR,"ATOXGR when ABLFL=""Y"". One value per Subject (SUBJID) and Parameter (PARAMCD).
                            Populate as a constant across all rows within that Subject and Parameter.
                        "
RULE_DTHDTF_GSKCOREDRVR1,DTHDTF,"DTHDTF = Y if the year is imputed. DTHDTF = M if year is present and month is
                            imputed. DTHDTF = D if only day is imputed.
                        "
RULE_ARACEDET_GSKCOREDRVR1,ARACEDET,"If RACE or RACEN = WHITE or ASIAN, ARACEDET=RACEOR or concatenation of RACEORn
                            (separated by semi-colon) depending on number of detailed categories selected.If
                            RACE=MULTIPLE then ARACE=concatenation of RACEn variables separated by semi-colons. If RACEn
                            is either WHITE or ASIAN, replace RACEn in concatenation with RACEORn information.
                        "
RULE_HBVBL_GSKANTI-VIRALSDRVR1,HBVBL,Refer to SAP
RULE_HCVBL_GSKANTI-VIRALSDRVR1,HCVBL,Refer to SAP
RULE_HBCVBL_GSKANTI-VIRALSDRVR1,HBCVBL,Refer to SAP
RULE_ASTRATUM_GSKANTI-VIRALSDRVR1,ASTRATUM,Refer to SAP
RULE_REGION1_GSKCORE-VXDRVR1,REGION1,Study specific definition. Group countries in to regions
RULE_SITEINV_GSKCORE-VXDRVR1,SITEINV,"Create the site identification in the format 'Site#-Investigator name': Equals
                            to DM.SITEID concatenated with ""-"" concatenated with DM.INVNAM
                        "
RULE_AAGE1U_GSKCOREDRVR1,AAGE1U,"Set equal to ""YEARS"" where AAGE1 is not blank"
RULE_AAGE2U_GSKCOREDRVR1,AAGE2U,"Set equal to ""YEARS"" where AAGE2 is not blank"
RULE_VLL10BL_GSKANTI-VIRALSDRVR1,VLL10BL,Log of VLBL
RULE_VLL10SC_GSKANTI-VIRALSDRVR1,VLL10SC,Log of VLSC
RULE_CD4L10BL_GSKANTI-VIRALSDRVR1,CD4L10BL,Log of CD4BL
RULE_CD4PCTBL_GSKANTI-VIRALSDRVR1,CD4PCTBL,Last CD4 Percentage before trt started
RULE_CD4CD8BL_GSKANTI-VIRALSDRVR1,CD4CD8BL,Last Ratio of CD4 to CD8 before trt started
RULE_TR01PG1N_GSKCOREDRVR1,TR01PG1N,Study specific definition
RULE_TR01AG1N_GSKCOREDRVR1,TR01AG1N,Study specific definition
RULE_TR01SDT_GSKCOREDRVR1,TR01SDT,Numeric date part of the earliest EX.EXSTDTC in period 01
RULE_TR01STM_GSKCOREDRVR1,TR01STM,Numeric time part of the earliest EX.EXSTDTC in period 01
RULE_TR01SDTM_GSKCOREDRVR1,TR01SDTM,Numeric datetime part of the earliest EX.EXSTDTC in period 01
RULE_TR01EDT_GSKCOREDRVR1,TR01EDT,Numeric date part of the latest EX.EXENDTC in period 01
RULE_TR01ETM_GSKCOREDRVR1,TR01ETM,Numeric time part of the latest EX.EXENDTC in period 01
RULE_TR01EDTM_GSKCOREDRVR1,TR01EDTM,Numeric datetime part of the latest EX.EXENDTC in period 01
RULE_AP01SDT_GSKCOREDRVR1,AP01SDT,The starting date of period 01
RULE_AP01STM_GSKCOREDRVR1,AP01STM,The starting time of period 01
RULE_AP01SDTM_GSKCOREDRVR1,AP01SDTM,The starting datetime of period 01
RULE_AP01EDT_GSKCOREDRVR1,AP01EDT,The ending date of period 01
RULE_AP01ETM_GSKCOREDRVR1,AP01ETM,The ending time of period 01
RULE_AP01EDTM_GSKCOREDRVR1,AP01EDTM,The ending datetime of period 01
RULE_PH1SDT_GSKCOREDRVR1,PH1SDT,The starting date of phase 1
RULE_PH1STM_GSKCOREDRVR1,PH1STM,The starting time of phase 1
RULE_PH1SDTM_GSKCOREDRVR1,PH1SDTM,The starting datetime of phase 1
RULE_PH1EDT_GSKCOREDRVR1,PH1EDT,The ending date of phase 1
RULE_PH1ETM_GSKCOREDRVR1,PH1ETM,The ending time of phase 1
RULE_PH1EDTM_GSKCOREDRVR1,PH1EDTM,The ending datetime of phase 1
RULE_RANDDT_GSKCOREDRVR1,RANDDT,Numeric date part of DS.DSSTDTC where DSTERM='Randomised'
RULE_TRTSDT_GSKCOREDRVR1,TRTSDT,Numeric date part of the earliest EX.EXSTDTC
RULE_TRTSTM_GSKCOREDRVR1,TRTSTM,Numeric time part of the earliest EX.EXSTDTC
RULE_TRTSDTM_GSKCOREDRVR1,TRTSDTM,Numeric datetime part of the earliest EX.EXSTDTC
RULE_TRTEDT_GSKCOREDRVR1,TRTEDT,Numeric date part of the latest EX.EXENDTC
RULE_TRTETM_GSKCOREDRVR1,TRTETM,Numeric time part of the latest EX.EXENDTC
RULE_TRTEDTM_GSKCOREDRVR1,TRTEDTM,Numeric datetime part of the latest EX.EXENDTC
RULE_DTHDT_GSKCOREDRVR1,DTHDT,Numeric date part of DM.DTHDTC
RULE_SCRDT_GSKCOREDRVR1,SCRDT,"Numeric date part of DS.DSSTDTC where DSTERM='ENTERED INTO TRIAL'
                        "
RULE_FSTCTDT_GSKCOREDRVR1,FSTCTDT,"Numeric date part of the first date of the subject participation in the study.
                        "
RULE_LSTCTDT_GSKCOREDRVR1,LSTCTDT,"Numeric date part of the last date of the subject participation in the study.
                            Please refer to study SAP, OPS or TA standards for more information.
                        "
RULE_BRTHDT_GSKCOREDRVR1,BRTHDT,Numeric date part of DM.BRTHDTC
RULE_VLBL_GSKANTI-VIRALSDRVR1,VLBL,Last viral load value before trt started
RULE_VLSC_GSKANTI-VIRALSDRVR1,VLSC,Last viral load value at screening
RULE_CD4BL_GSKANTI-VIRALSDRVR1,CD4BL,Last CD4 value before treatment started
RULE_CD4SC_GSKANTI-VIRALSDRVR1,CD4SC,Last CD4 value at screening
RULE_HBVDT_GSKANTI-VIRALSDRVR1,HBVDT,Date where HBVBL was collected
RULE_HBVCODT_GSKANTI-VIRALSDRVR1,HBVCODT,Date where HBV co-infection was collected
