OID,Name,Method
RULE_ADAE_AAEACNOT_GSKCOREDRVR1,ADAE_AAEACNOT,"Check, if there is a related disposition record (DSCAT=""DISPOSITION EVENT"") in
                            SDTM.DS for a serious adverse event or a non-serious adverse event (see below for logic for
                            the relation). If additionally the upcased value of ADSL.EOSSTT equals to ""WITHDRAWAL"" then
                            assign a value of ""WITHDRAWN FROM STUDY"" to AAEACNOT. Otherwise copy value from
                            AE.AEACNOTH.To check if there is a related record in SDTM.DS use the following logic:1)
                            Check, if there is a record in SDTM.RELREC, where AE.USUBJID = RELREC.USUBJID and
                            RELREC.RDOMAIN = ""AE"" and RELREC.RELID begins with ""DS"".For non-serious adverse events note
                            RELREC.RELID when AE.AESPID equals RELREC.IDVARVAL For serious adverse events note
                            RELREC.RELID when AE.AEGRPID equals RELREC.IDVARVAL2) Note IDVARVAL for given USUBJID/ RELID
                            if there is a record in SDTM.RELREC where RDOMAIN equals to ""DS"" 3) Merge on each related
                            DSTERM where DS.DSSEQ = RELREC.IDVARVAL (onto record identified via the RELREC dataset)4) If
                            UPCASE(ADSL.EOSSTT) equals ""WITHDRAWAL"" any of the related disposition records
                            (DSCAT=""DISPOSITION EVEN"") where DS.DSTERM(s) are equal ""SERIOUS ADVERSE EVENT AND/OR PIMD""
                            or ""NON-SERIOUS ADVERSE EVENT"" are considered to be related to study withdrawal, which
                            means, that AAEACNOT is set to ""WITHDRAWN FROM STUDY"".
                        "
RULE_ADAE_ASPDOSE_GSKCOREDRVR1,ADAE_ASPDOSE,"Assign value 'Dose 1' for ADAE.ASPER = 1, 'Dose 2' for ADAE.ASPER = 2
                        "
RULE_ADAE_AAEACN_GSKCOREDRVR1,ADAE_AAEACN,"Combine SDTM.SUPPEC and SDTM.EC by USUBJID and where EC.ECSEQ equals the numeric
                            version of SUPPEC.IDVARVAL.For non serious AEs:From the combined EC/SUPPEC dataset , extract
                            SUPPEC.ECREASC and SUPPEC.ECREASCX using following logic:1) if there is a record in RELREC
                            where AE.USUBJID = RELREC.USUBJID and AE.AESPID = RELREC.IDVARVAL and RELREC.RELID begins
                            with ""EC"" (WHERE RELREC.RDOMAIN = ""AE"") note the RELID.2) for given USUBJID/ RELID if there
                            is a record in RELREC where RDOMAIN is ""EC"" (note the IDVARVAL) 3) Merge on SUPPEC. ECREASC
                            and SUPPEC.ECREASCX where EC.ECSEQ = RELREC.IDVARVAL (onto record identified via the RELREC
                            dataset)For serious AEs repeat steps 1-3 but use AEGRPID instead of AESPID.If ECREASC is not
                            missing, then assign the value 'DRUG WITHDRAWN'. Otherwise copy the value from AE.AEACN.
                        "
RULE_ADAE_AECREAS_GSKCOREDRVR1,ADAE_AECREAS,"Concatenate the variable values in ECREASC and ECREASCX extracted while deriving
                            ADAE.AAEACN, by colon separated and assign to AECREAS.
                        "
RULE_ADAE_AECREAVS_GSKCOREDRVR1,ADAE_AECREAVS,"1) Merge in the TV.VISIT and TV.VISITDY to the combined EC/SUPPEC dataset by
                            VISITNUM, and create the variable AECREAVS by concatenating the values in TV.VISIT and
                            TV.VISITDY by "" DAY "" text separated.2) Follow merging approach outlined in ADAE.AAEACN but
                            instead merge on AECREAVS variable derived in step 1 above.
                        "
RULE_ADAE_AAEACT_GSKCOREDRVR1,ADAE_AAEACT,"Create two temporary variables AAEACTDC and AAEACTEC to derive AAEACT.1)If
                            UPCASE(ADAE.AAEACN) = ""DRUG WITHDRAWN"" and ADAE.AECREAVS not missing then assign AAEACTEC=
                            ""DRUG WITHDRAWN DOSE: ""!!STRIP(PUT(ADAE.ASPER+1,BEST.))!!"" AT ""!!STRIP(ADAE.AECREAVS).
                            Otherwise if UPCASE(ADAE.AAEACN) = ""DRUG WITHDRAWN"" and ADAE.AECREAVS is missing then
                            AAEACTEC= ""DRUG WITHDRAWN DOSE: ""!!STRIP(PUT(ADAE.ASPER+1,BEST.))!!"", No link with EC
                            data"".2) If UPCASE(ADAE.AAEACNOT) = ""WITHDRAWN FROM STUDY"" and TV.VISIT not missing THEN
                            assign AAEACTDC= ""WITHDRAWN FROM STUDY AT: ""!!STRIP(TV.VISIT)!!"" DAY
                            ""!!STRIP(PUT(TV.VISITDY,BEST.)). Otherwise if ADAE.AAEACNOT = ""WITHDRAWN FROM STUDY"" and
                            TV.VISIT is missing then assign AAEACTDC= ""WITHDRAWN FROM STUDY, No link with DS data"".If
                            both the temporary variables derived in the above steps are not missing then concatenate
                            them by "" / "" separated and assign to AAEACT. Otherwise assign only the non-missing
                            temporary variable.
                        "
RULE_ADAE_APIMD_GSKCOREDRVR1,ADAE_APIMD,"Assign value 'Y' when ADAE.AEPIMD is ""Y"" or if AE.AEPTCD exists in a lookup
                            table. Otherwise assign 'N'. For the contents of the lookup table see appendix 8.1 in the
                            ADRG
                        "
RULE_ADAE_APIMDSRC_GSKCOREDRVR1,ADAE_APIMDSRC,"Record the source of the derivation of AEPIMD.IF ADAE.AEPIMD IN ('','N') AND
                            AE.AEPTCD exists in a lookup table. For the contents of the lookup table see appendix 8.1 in
                            the ADRG THEN apimd_src = 'MedDRA'; ELSE IF ADAE.AEPIMD IN ('NS','S','Y') AND AE.AEPTCD
                            exists in a lookup table. For the contents of the lookup table see appendix 8.1 in the ADRG
                            THEN apimd_src = 'MedDRA and investigator'; ELSE IF ADAE.AEPIMD IN ('NS','S','Y') THEN
                            apimd_src = 'Investigator';
                        "
RULE_ADAE_ANL01FL_GSKCOREDRVR1,ADAE_ANL01FL,"Assign to ""Y"" if AE.AECAT not equals ""REACTOGENICITY"" AND AE.AELNKID = """",
                            means: drop ongoing solicited events from analysis.
                        "
RULE_ADAE_AEBODL_GSKCOREDRVR1,ADAE_AEBODL,"Body system concatenated with the MedDRA code: AE.AEBODSYS concatenated with ""(""
                            concatenated with AEBDSYCD concatenated with "")""
                        "
RULE_ADURU_GSKCOREDRVR1,ADURU,"Set equal to ""DAYS"""
RULE_ADURC_GSKCOREDRVR1,ADURC,ADURN converted to display in days
RULE_AFTRTSTC_GSKCOREDRVR1,AFTRTSTC,"ASTDT - ADSL.TRTSDT+1 (value should >=1). Can be DateTime for it if needed.
                        "
RULE_ALTRTSTC_GSKCOREDRVR1,ALTRTSTC,"ASTDT - most recent dose date (Date component of EX.EXSTDTC for any EX.EXTRT on
                            or before ASTDT). If ASTDT >= most recent dose date EXSTDTC, then +1 to this calculation.
                            Can be DateTime for it if needed.
                        "
RULE_APFTRSTC_GSKCOREDRVR1,APFTRSTC,"min (ASTDT - ADSL.TR01SDT+1 (value should >=1), ASTDT - ADSL.TR02SDT+1 (value
                            should >=1) , ... , ASTDT - ADSL.TRXXSDT+1 (value should >=1)). Can be DateTime for it
                            if needed.
                        "
RULE_ADAE_AAGE_GSKCOREDRVR1,ADAE_AAGE,"Calculated age in human years at the start date of the AE (i.e. taking into
                            account leap years), using SAS function YRDIF applying parameter AGE and taking the integer
                            value. Derived as the age at the start date of the adverse event:
                            INT(YRDIF(ADSL.BRTHDT,ADAE.ASTDT,'AGE'));,
                        "
RULE_ADAE_ASPDOSEN_GSKCOREDRVR1,ADAE_ASPDOSEN,Derive from ADAE.ASPDOSE using format [EPOCH2I].
RULE_TPERADY_GSKCOREDRVR1,TPERADY,"Contains the number of days from the first exposure date in the period that the
                            spontaneous event occurred (if the exposure date is prior to the spontaneous event date), or
                            the first exposure date of the previous period (if the exposure date in this period is after
                            the spontaneous event date) to ADT. If value >=0 then add 1.
                        "
RULE_ADAE_ASEV_GSKCOREDRVR1,ADAE_ASEV,"The analysis severity is based on the collected severity (AESEV) and if the
                            collected severity is missing, the severity is imputed from the seriousness (AESER) or if
                            seriousness is missing, from the action taken or action taken other values:Equals to
                            ADAE.AESEV if AESEV is not missing; If ADAE.AESEV is missing then if AE.AESER= 'Y' then ASEV
                            = 'Severe' else if AE.AEACN = 'DOSE NOT CHANGED' and, AEACNOTH = 'NONE' then ASEV = 'Mild'
                            else ASEV = 'Moderate'
                        "
RULE_ADAE_AESEVN_GSKCOREDRVR1,ADAE_AESEVN,Numeric code of ADAE.AESEV
RULE_ADAE_ASEVN_GSKCOREDRVR1,ADAE_ASEVN,Numeric code of ADAE.ASEV
RULE_ADAE_TRTEMFL_GSKCOREDRVR1,ADAE_TRTEMFL,"Flag when AE is treatment emergent. Equals to ""Y"" when (ADAE.ASTDT >
                            ADSL.P01S1SDT or, (ADAE.ASTDT <= ADSL.P01S1SDT and AE.AESTRTPT = ""AFTER"") (ADAE.ASTDT =
                            ADSL.P01S1SDT and AE.AESTRTPT NE ""BEFORE"" )Equals blank otherwise.
                        "
RULE_ADAE_AEOUTN_GSKCOREDRVR1,ADAE_AEOUTN,"Ranking of AE outcome value. Set to numeric value of AEOUT using [AEOUTI]if
                            AE.AEOUT=""RECOVERED/RESOLVED"" then AEOUTN=1; if AE.AEOUT=""RECOVERING/RESOLVING"" then
                            AEOUTN=2; if AE.AEOUT=""NOT RECOVERED/NOT RESOLVED"" then AEOUTN=3; if
                            AE.AEOUT=""RECOVERED/RESOLVED WITH SEQUELAE"" then AEOUTN=4; if AE.AEOUT=""FATAL"" then
                            AEOUTN=5; if AE.AEOUT = ""UNKNOWN"" then AEOUTN = 6
                        "
