OID,Name,Description,Document,Pages,Title
RD.Table14.3.01,Table14.3.01,Primary Endpoint Analysis: ADAS Cog (11) - Change from Baseline to Week 24 - LOCF,,,
RD.Table14.5.02,Table14.5.02,Incidence of Treatment Emergent Serious Adverse Events by Treatment Group,,,
